Sem.,Día,Fecha,Hora,Local,xG,Marcador,xG,Visitante,Asistencia,Sedes,Árbitro,Informe del partido,Notas
1,Vie,2021-08-13,21:00,Valencia,1.2,1–0,1.4,Getafe,9868,Estadio de Mestalla,Jesús Gil,Informe del partido,
1,Sáb,2021-08-14,19:30,Mallorca,0.6,1–1,0.8,Betis,6279,Iberostar Estadi,Antonio Matéu Lahoz,Informe del partido,
1,Sáb,2021-08-14,19:30,Cádiz,0.6,1–1,1.1,Levante,6941,Estadio Nuevo Mirandilla,Santiago Jaime,Informe del partido,
1,Sáb,2021-08-14,22:00,Alavés,1.7,1–4,2.1,Real Madrid,3968,Estadio de Mendizorroza,César Soto,Informe del partido,
1,Sáb,2021-08-14,22:00,Osasuna,0.9,0–0,0.8,Espanyol,6715,Estadio El Sadar,Miguel Ángel Ortiz Arias,Informe del partido,
1,Dom,2021-08-15,17:30,Celta Vigo,2.3,1–2,1.9,Atlético Madrid,5401,Estadio de Balaídos,José Luis Munuera,Informe del partido,
1,Dom,2021-08-15,20:00,Barcelona,3.1,4–2,1.1,Real Sociedad,20384,Camp Nou,Alejandro Hernández,Informe del partido,
1,Dom,2021-08-15,22:15,Sevilla,3.9,3–0,0.6,Rayo Vallecano,13962,Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Informe del partido,
1,Lun,2021-08-16,20:00,Villarreal,1.3,0–0,0.4,Granada,7837,Estadio de la Cerámica,Pablo González,Informe del partido,
1,Lun,2021-08-16,22:00,Elche,1.0,0–0,0.7,Athletic Club,9145,Estadio Manuel Martínez Valero,Adrián Cordero,Informe del partido,
,,,,,,,,,,,,,
2,Vie,2021-08-20,21:00,Betis,1.4,1–1,1.5,Cádiz,23745,Estadio Benito Villamarín,Valentín Pizarro,Informe del partido,
2,Sáb,2021-08-21,17:00,Alavés,0.7,0–1,1.0,Mallorca,2896,Estadio de Mendizorroza,Alejandro Muñíz,Informe del partido,
2,Sáb,2021-08-21,19:30,Espanyol,1.3,0–0,0.7,Villarreal,11095,RCDE Stadium,Jorge Figueroa,Informe del partido,
2,Sáb,2021-08-21,19:30,Granada,1.0,1–1,1.9,Valencia,6267,Estadio Nuevo Los Cármenes,Carlos del Cerro,Informe del partido,
2,Sáb,2021-08-21,22:00,Athletic Club,1.5,1–1,1.4,Barcelona,9394,San Mamés,Juan Martínez,Informe del partido,
2,Dom,2021-08-22,17:00,Real Sociedad,1.9,1–0,0.6,Rayo Vallecano,7652,Estadio Municipal de Anoeta,Santiago Jaime,Informe del partido,
2,Dom,2021-08-22,19:30,Atlético Madrid,1.1,1–0,0.2,Elche,24926,Estadio Wanda Metropolitano,Ricardo de Burgos,Informe del partido,
2,Dom,2021-08-22,22:00,Levante,2.3,3–3,1.9,Real Madrid,9838,Estadio Ciudad de Valencia,Guillermo Cuadra,Informe del partido,
2,Lun,2021-08-23,20:00,Getafe,0.6,0–1,1.3,Sevilla,4810,Coliseum Alfonso Pérez,José Sánchez,Informe del partido,
2,Lun,2021-08-23,22:00,Osasuna,2.0,0–0,0.2,Celta Vigo,7189,Estadio El Sadar,Alberola Rojas,Informe del partido,
,,,,,,,,,,,,,
3,Vie,2021-08-27,20:00,Mallorca,1.0,1–0,0.5,Espanyol,7529,Iberostar Estadi,Isidro Díaz de Mera,Informe del partido,
3,Vie,2021-08-27,22:15,Valencia,1.7,3–0,0.5,Alavés,10627,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Informe del partido,
3,Sáb,2021-08-28,17:00,Celta Vigo,1.1,0–1,1.2,Athletic Club,5492,Estadio de Balaídos,Antonio Matéu Lahoz,Informe del partido,
3,Sáb,2021-08-28,19:30,Real Sociedad,1.4,1–0,0.2,Levante,7758,Estadio Municipal de Anoeta,José Luis Munuera,Informe del partido,
3,Sáb,2021-08-28,19:30,Elche,0.6,1–1,1.6,Sevilla,10385,Estadio Manuel Martínez Valero,Valentín Pizarro,Informe del partido,
3,Sáb,2021-08-28,22:00,Betis,0.9,0–1,1.1,Real Madrid,22590,Estadio Benito Villamarín,Alejandro Hernández,Informe del partido,
3,Dom,2021-08-29,17:00,Barcelona,1.2,2–1,0.4,Getafe,26543,Camp Nou,Pablo González,Informe del partido,
3,Dom,2021-08-29,19:30,Rayo Vallecano,2.2,4–0,0.6,Granada,583,Estadio del Rayo Vallecano,Jesús Gil,Informe del partido,
3,Dom,2021-08-29,19:30,Cádiz,1.7,2–3,2.5,Osasuna,7452,Estadio Nuevo Mirandilla,Adrián Cordero,Informe del partido,
3,Dom,2021-08-29,22:00,Atlético Madrid,2.2,2–2,0.5,Villarreal,26840,Estadio Wanda Metropolitano,César Soto,Informe del partido,
,,,,,,,,,,,,,
4,Sáb,2021-09-11,18:30,Levante,1.1,1–1,2.4,Rayo Vallecano,12974,Estadio Ciudad de Valencia,Alberola Rojas,Informe del partido,
4,Sáb,2021-09-11,21:00,Athletic Club,1.8,2–0,0.3,Mallorca,14566,San Mamés,Jorge Figueroa,Informe del partido,
4,Dom,2021-09-12,14:00,Espanyol,0.5,1–2,1.0,Atlético Madrid,15321,RCDE Stadium,Juan Martínez,Informe del partido,
4,Dom,2021-09-12,16:15,Osasuna,0.7,1–4,0.9,Valencia,13940,Estadio El Sadar,Ricardo de Burgos,Informe del partido,
4,Dom,2021-09-12,18:30,Cádiz,0.3,0–2,2.2,Real Sociedad,11826,Estadio Nuevo Mirandilla,Alejandro Muñíz,Informe del partido,
4,Dom,2021-09-12,21:00,Real Madrid,3.1,5–2,1.6,Celta Vigo,19874,Estadio Santiago Bernabéu,José Sánchez,Informe del partido,
4,Lun,2021-09-13,20:00,Getafe,0.5,0–1,0.7,Elche,6853,Coliseum Alfonso Pérez,Mario Melero,Informe del partido,
4,Lun,2021-09-13,22:00,Granada,0.7,1–2,2.5,Betis,10201,Estadio Nuevo Los Cármenes,Guillermo Cuadra,Informe del partido,
,,,,,,,,,,,,,
5,Vie,2021-09-17,21:00,Celta Vigo,1.2,1–2,1.1,Cádiz,6754,Estadio de Balaídos,Isidro Díaz de Mera,Informe del partido,
5,Sáb,2021-09-18,14:00,Rayo Vallecano,2.3,3–0,1.2,Getafe,3280,Estadio del Rayo Vallecano,Adrián Cordero,Informe del partido,
5,Sáb,2021-09-18,16:15,Atlético Madrid,1.2,0–0,1.1,Athletic Club,38798,Estadio Wanda Metropolitano,Jesús Gil,Informe del partido,
5,Sáb,2021-09-18,18:30,Elche,0.6,1–1,1.7,Levante,11507,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Informe del partido,
5,Sáb,2021-09-18,21:00,Alavés,0.6,0–2,1.6,Osasuna,8176,Estadio de Mendizorroza,Alejandro Hernández,Informe del partido,
5,Dom,2021-09-19,14:00,Mallorca,0.7,0–0,1.5,Villarreal,9168,Iberostar Estadi,Carlos del Cerro,Informe del partido,
5,Dom,2021-09-19,16:15,Real Sociedad,1.4,0–0,0.9,Sevilla,23757,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Informe del partido,
5,Dom,2021-09-19,18:30,Betis,1.9,2–2,1.8,Espanyol,30189,Estadio Benito Villamarín,César Soto,Informe del partido,
5,Dom,2021-09-19,21:00,Valencia,1.4,1–2,1.4,Real Madrid,26689,Estadio de Mestalla,Pablo González,Informe del partido,
5,Lun,2021-09-20,21:00,Barcelona,1.8,1–1,0.7,Granada,27097,Camp Nou,Santiago Jaime,Informe del partido,
,,,,,,,,,,,,,
6,Mar,2021-09-21,19:30,Getafe,0.4,1–2,1.0,Atlético Madrid,8950,Coliseum Alfonso Pérez,Guillermo Cuadra,Informe del partido,
6,Mar,2021-09-21,22:00,Levante,1.5,0–2,0.9,Celta Vigo,11989,Estadio Ciudad de Valencia,Jorge Figueroa,Informe del partido,
6,Mar,2021-09-21,22:00,Athletic Club,0.8,1–2,0.8,Rayo Vallecano,16236,San Mamés,José Luis Munuera,Informe del partido,
6,Mié,2021-09-22,19:30,Sevilla,1.1,3–1,0.4,Valencia,23654,Estadio Ramón Sánchez Pizjuán,José Sánchez,Informe del partido,
6,Mié,2021-09-22,19:30,Espanyol,1.6,1–0,0.5,Alavés,14254,RCDE Stadium,Mario Melero,Informe del partido,
6,Mié,2021-09-22,22:00,Real Madrid,3.2,6–1,1.6,Mallorca,20113,Estadio Santiago Bernabéu,Alberola Rojas,Informe del partido,
6,Mié,2021-09-22,22:00,Villarreal,3.0,4–1,1.2,Elche,8234,Estadio de la Cerámica,Alejandro Muñíz,Informe del partido,
6,Jue,2021-09-23,19:30,Osasuna,0.9,1–3,2.8,Betis,13758,Estadio El Sadar,Juan Martínez,Informe del partido,
6,Jue,2021-09-23,19:30,Granada,1.4,2–3,1.9,Real Sociedad,9552,Estadio Nuevo Los Cármenes,Valentín Pizarro,Informe del partido,
6,Jue,2021-09-23,22:00,Cádiz,1.4,0–0,0.6,Barcelona,12180,Estadio Nuevo Mirandilla,Carlos del Cerro,Informe del partido,
,,,,,,,,,,,,,
7,Sáb,2021-09-25,14:00,Alavés,0.6,1–0,1.1,Atlético Madrid,9836,Estadio de Mendizorroza,Antonio Matéu Lahoz,Informe del partido,
7,Sáb,2021-09-25,16:15,Valencia,1.0,1–1,1.0,Athletic Club,13680,Estadio de Mestalla,Alejandro Hernández,Informe del partido,
7,Sáb,2021-09-25,18:30,Sevilla,1.7,2–0,0.9,Espanyol,23956,Estadio Ramón Sánchez Pizjuán,Pablo González,Informe del partido,
7,Sáb,2021-09-25,21:00,Real Madrid,1.4,0–0,0.7,Villarreal,23985,Estadio Santiago Bernabéu,Jesús Gil,Informe del partido,
7,Dom,2021-09-26,14:00,Mallorca,2.2,2–3,0.9,Osasuna,9359,Iberostar Estadi,Miguel Ángel Ortiz Arias,Informe del partido,
7,Dom,2021-09-26,16:15,Barcelona,3.1,3–0,0.7,Levante,35334,Camp Nou,Isidro Díaz de Mera,Informe del partido,
7,Dom,2021-09-26,18:30,Rayo Vallecano,1.2,3–1,1.0,Cádiz,5903,Estadio del Rayo Vallecano,Ricardo de Burgos,Informe del partido,
7,Dom,2021-09-26,18:30,Real Sociedad,2.4,1–0,0.6,Elche,23941,Estadio Municipal de Anoeta,Adrián Cordero,Informe del partido,
7,Dom,2021-09-26,21:00,Betis,2.3,2–0,0.9,Getafe,29825,Estadio Benito Villamarín,Santiago Jaime,Informe del partido,
7,Lun,2021-09-27,21:00,Celta Vigo,1.4,1–0,0.9,Granada,6375,Estadio de Balaídos,César Soto,Informe del partido,
,,,,,,,,,,,,,
8,Vie,2021-10-01,21:00,Athletic Club,2.2,1–0,1.1,Alavés,28665,San Mamés,Carlos del Cerro,Informe del partido,
8,Sáb,2021-10-02,14:00,Osasuna,0.6,1–0,0.3,Rayo Vallecano,19238,Estadio El Sadar,Mario Melero,Informe del partido,
8,Sáb,2021-10-02,16:15,Mallorca,0.8,1–0,1.2,Levante,11803,Iberostar Estadi,Alejandro Muñíz,Informe del partido,
8,Sáb,2021-10-02,18:30,Cádiz,0.2,0–0,1.4,Valencia,14794,Estadio Nuevo Mirandilla,Valentín Pizarro,Informe del partido,
8,Sáb,2021-10-02,21:00,Atlético Madrid,1.3,2–0,0.9,Barcelona,60594,Estadio Wanda Metropolitano,César Soto,Informe del partido,
8,Dom,2021-10-03,14:00,Elche,1.5,1–0,0.9,Celta Vigo,11299,Estadio Manuel Martínez Valero,José Luis Munuera,Informe del partido,
8,Dom,2021-10-03,16:15,Espanyol,1.5,2–1,2.0,Real Madrid,23377,RCDE Stadium,Guillermo Cuadra,Informe del partido,
8,Dom,2021-10-03,18:30,Getafe,0.7,1–1,0.9,Real Sociedad,8463,Coliseum Alfonso Pérez,Jorge Figueroa,Informe del partido,
8,Dom,2021-10-03,18:30,Villarreal,2.8,2–0,0.7,Betis,16719,Estadio de la Cerámica,José Sánchez,Informe del partido,
8,Dom,2021-10-03,21:00,Granada,0.1,1–0,1.4,Sevilla,12334,Estadio Nuevo Los Cármenes,Alberola Rojas,Informe del partido,
,,,,,,,,,,,,,
9,Sáb,2021-10-16,18:30,Levante,1.0,0–0,0.7,Getafe,14551,Estadio Ciudad de Valencia,Mario Melero,Informe del partido,
9,Sáb,2021-10-16,21:00,Real Sociedad,0.6,1–0,0.3,Mallorca,30831,Estadio Municipal de Anoeta,Pablo González,Informe del partido,
